"Location","Rep","Treatment","Genotype","PIT","NOPPT","Yield_Bu_Ac","TW","Yield_Mt_Ha"
"HUG21",1,"Absent","Shirley",0.113924050632911,0.582278481012658,44.8686453471664,52.8,3.01739376914367
"HUG21",1,"Present","Jamestown",0,0,53.4537773137656,55,3.59473956380401
"HUG21",1,"Absent","Jamestown",0.0864197530864197,0.0246913580246914,45.8310218008927,55.5,3.08211310026178
"HUG21",1,"Present","USG3404",0.114754098360656,0.311475409836066,39.4620123173407,53.1,2.65380042483797
"HUG21",1,"Absent","SS8641",0.647058823529412,3.76470588235294,NA,NA,NA
"HUG21",1,"Absent","NC11546-14",0.0114942528735632,0.0114942528735632,61.4910311862261,55.4,4.13524083296746
"HUG21",1,"Present","SS8641",0.0298507462686567,0.0597014925373134,65.5729831738999,54.4,4.40975004531943
"HUG21",1,"Present","LA03136E71",0,0,54.9707223675292,53.8,3.69675335356619
"HUG21",1,"Present","NC11546-14",0,0,71.0865469208063,55.4,4.78053442641603
"HUG21",1,"Absent","LA03136E71",0.0131578947368421,0.0394736842105263,59.0059581912094,55.2,3.96812092745188
"HUG21",1,"Absent","USG3404",0.123809523809524,0.533333333333333,27.1787129967467,52.8,1.82775474087066
"HUG21",1,"Present","Shirley",0.131868131868132,0.637362637362637,58.951808131773,52.7,3.96447936326651
"HUG21",2,"Absent","Shirley",0.119565217391304,0.217391304347826,42.2167009623402,52.6,2.83905184682853
"HUG21",2,"Absent","NC11546-14",0.0263157894736842,0.0614035087719298,69.6322813433557,56,4.68273579982217
"HUG21",2,"Absent","USG3404",0.0645161290322581,0.193548387096774,19.0086271504519,53,1.27832058846348
"HUG21",2,"Present","SS8641",0,0,61.6518772081503,62,4.14605764681576
"HUG21",2,"Absent","Jamestown",0.072463768115942,0.246376811594203,40.558003260211,56,2.72750526295972
"HUG21",2,"Present","USG3404",0.0294117647058824,0.0294117647058824,34.3954995669085,53.4,2.31307999777461
"HUG21",2,"Present","Jamestown",0,0,50.6664577803484,55.6,3.40729373102545
"HUG21",2,"Present","Shirley",0,0,58.5661845871161,53.1,3.93854637438575
"HUG21",2,"Absent","SS8641",0.142857142857143,0.495238095238095,57.142867490167,55.3,3.8428290174961
"HUG21",2,"Present","LA03136E71",0,0,53.809978282775,55.2,3.61869389931237
"HUG21",2,"Absent","LA03136E71",0.0917431192660551,0.311926605504587,49.7372208499911,54.4,3.34480301613928
"HUG21",2,"Present","NC11546-14",0.0227272727272727,0.0568181818181818,61.4809758644955,55.5,4.13456461765269
"HUG21",3,"Present","NC11546-14",0,0,63.9442166823695,55.8,4.30021632026695
"HUG21",3,"Present","LA03136E71",0.00970873786407767,0.029126213592233,55.4642938991695,54.9,3.72994579012572
"HUG21",3,"Present","Jamestown",0.019047619047619,0.019047619047619,51.3388340602723,54.5,3.45251069672308
"HUG21",3,"Absent","NC11546-14",0,0,68.7263633692296,55.2,4.62181327298114
"HUG21",3,"Absent","SS8641",0.105263157894737,0.276315789473684,64.0601463255126,54.8,4.30801253029675
"HUG21",3,"Present","Shirley",0.131147540983607,0.278688524590164,61.1933232366224,52.5,4.11522012351193
"HUG21",3,"Present","USG3404",0.018348623853211,0.0642201834862385,32.5257183599675,53.8,2.18733815467166
"HUG21",3,"Present","SS8641",0.0757575757575758,0.106060606060606,65.0172799266634,54.6,4.3723792822235
"HUG21",3,"Absent","USG3404",0.150537634408602,0.505376344086022,19.9048419347368,53.7,1.33859058068169
