"Combination_1","Combination_2","PIT_T Estimate","PIT_T P(>F)","NOPPT_T Estimate","NOPPT_T P(>F)","Grain Yield Estimate","Grain Yield P(>F)"
"Jamestown Absent","Jamestown Present",0.00821019516502375,0.00154844958788491,0.00735869942982728,0.00026261348604073,-0.373100832685897,0.00145623837362119
"LA03136E71 Absent","LA03136E71 Present",0.00782853443323381,0.0038835966688282,0.00820982506961603,2.576699191148e-05,-0.123895916034786,0.955267915540766
"(NC11546-14 Absent)","(NC11546-14 Present)",0.00207628108974435,0.995906620369938,0.00222085322448351,0.96426792912291,-0.0380262365638721,0.999999312030871
"Shirley Absent","Shirley Present",0.007267101636095,0.0112956326224414,0.00603208599289231,0.00907821403402165,-0.741329514572683,8.27449220253129e-13
"SS8641 Absent","SS8641 Present",0.00482588959099949,0.336518217734278,0.00438433684560319,0.187846697694056,-0.271558317280607,0.087685083943473
"USG3404 Absent","USG3404 Present",0.00399315944177628,0.638204208059583,0.00313450765980042,0.694326418064931,-0.458567266221952,1.37466962071287e-05
