"Combination 1","Combination 2","Trait","Location","Estimate","SE","DF","T-Ratio","P(>T)"
"USG3404 Absent","USG3404 Present","NOPPT_T","CUN22",-0.00103427133621922,0.0030637434507787,76.0053123392995,-0.337584185110651,0.999999950702433
"Jamestown Absent","Jamestown Present","NOPPT_T","CAS22",0.00354097203514354,0.00331646631272329,76.0060913705568,1.06769425685374,0.9952003723477
"LA03136E71 Absent","LA03136E71 Present","NOPPT_T","CAS22",0.00684386238430596,0.00331646631272328,76.0060913705584,2.06360075422753,0.649240814549117
"(NC11546-14 Absent)","(NC11546-14 Present)","NOPPT_T","CAS22",0.0037714117776678,0.00343844614136965,76.8406335246192,1.09683607728854,0.993984283936249
"Shirley Absent","Shirley Present","NOPPT_T","CAS22",0.00838036384861458,0.00331646631272328,76.0060913705584,2.52689551419961,0.339899602496397
"SS8641 Absent","SS8641 Present","NOPPT_T","CAS22",0.00344853927868918,0.00331646631272328,76.0060913705584,1.03982340042449,0.996173523640252
"USG3404 Absent","USG3404 Present","NOPPT_T","CAS22",0.00146233804829051,0.00331646631272328,76.0060913705584,0.440932580162326,0.9999991554829
"Jamestown Absent","Jamestown Present","Grain Yield","HUG21",-0.623343346129883,0.166336493285341,54.0004251469995,-3.74748399354899,0.0201129111848328
"LA03136E71 Absent","LA03136E71 Present","Grain Yield","HUG21",-0.27976457184106,0.166336493285341,54.0004251469967,-1.68191938110142,0.868420614408877
"(NC11546-14 Absent)","(NC11546-14 Present)","Grain Yield","HUG21",0.251294679201587,0.166336493285341,54.0004251469967,1.51076095352392,0.931086476030184
"Shirley Absent","Shirley Present","Grain Yield","HUG21",-0.88075159063834,0.166336493285341,54.0004251469967,-5.29499915047182,0.000132586742619289
"SS8641 Absent","SS8641 Present","Grain Yield","HUG21",-0.315944064066924,0.175143362621764,54.2381276861519,-1.80391685609709,0.808716147875478
"USG3404 Absent","USG3404 Present","Grain Yield","HUG21",-0.939638016502403,0.166336493285341,54.0004251469965,-5.64901903330683,3.75996447585791e-05
"Jamestown Absent","Jamestown Present","Grain Yield","HUG22",-0.147950562159441,0.162653062900579,77.0000000000009,-0.909608214693598,0.998837950269905
"LA03136E71 Absent","LA03136E71 Present","Grain Yield","HUG22",-0.145848715742867,0.162653062900579,77.0000000000001,-0.896685947020971,0.998980731918326
"(NC11546-14 Absent)","(NC11546-14 Present)","Grain Yield","HUG22",-0.107656236747271,0.162653062900579,76.9999999999997,-0.661876480082488,0.999945009344858
"Shirley Absent","Shirley Present","Grain Yield","HUG22",-0.753310302951179,0.162653062900579,77.0000000000001,-4.63139328284052,0.0008385277417019
"SS8641 Absent","SS8641 Present","Grain Yield","HUG22",-0.30814907420763,0.162653062900579,77.0000000000001,-1.89451750070016,0.758802485379606
"USG3404 Absent","USG3404 Present","Grain Yield","HUG22",-0.453188132292058,0.162653062900579,77.0000000000001,-2.78622562778954,0.206715348319675
